Author_ID,Author_Name,Author_Affiliation,Author_Citations,Author_Documents_number,H-index,FWCI,Co_Authors_IDs,Co_authors_Names
15753326700,"Imad, Hafidi",Morocco,163,53,7,1.17,"['8907520500', '58184510600', '57194031595', '57202849162', '57345703800', '56433548800', '16067923100', '57194380165', '58184222300', '6504491745', '57217042219', '58109613400', '56784321200', '6602735163', '57202156076', '58183945100', '57190491921', '9432787600', '15753326700', '57222163613', '57205406993', '51864221500', '57193550788', '26533227600', '57364637200', '57866343500', '57210186235', '57222166319', '57200595982', '58183671900', '56349129200', '7003645184', '57199326558']","['Ciupercǎ, Ionel Sorin', 'El Bahy, Siham', 'Abdellatif, Lasbahani', 'Khalfi, Hamza', 'Labdiad, Fatah', 'Idrissi, Nadia', 'Aboutabit, Noureddine', 'Lamghari, Nidal', 'Jbel, Mouad', 'Azouani, Abderrahim', 'Aassem, Youssef', 'Azoua, Mohammed', 'Hadri, Aissam', 'Jai, Mohammed', 'Rochd, Yassir', 'Lakouam, Issam', 'Ennaji, Fatima Zohra', 'Metrane, Abdelmoutalib', 'Imad, Hafidi', 'Tabbaa, Hiba', 'Ifzarne, Samir', 'Nachaoui, Mourad', 'Aboutabit, Noureddine', 'Ouartassi, Bajil', 'Mellouli, Oumaima', 'Karim, Marouane', 'Nasri, Mehdi', 'Taoussi, Chaimae', 'Lazaar, Mohamed', 'Jabrane, Mourad', 'Jamali, Anouar', 'Buscaglia, Gustavo C.', 'Alami, Lamiae']"
8907520500,"Ciupercǎ, Ionel Sorin",France,400,50,12,0.34,"['6603450560', '7003407848', '8907520500', '6507362562', '14042110800', '6701701280', '55236492300', '6602735163', '8287265300', '57203530614', '6602274417', '8393919900', '15753326700', '6603591074', '6701653880', '41561414300', '23568449300', '6505966240', '57219297454', '6506118859', '56567717600', '7006567033', '56905352900', '57198894474', '7801324704', '7003952777', '55893663400', '7003284047', '7004688554', '56231709600', '7003645184']","['Arnaud Heibig', 'Eduard Feireisl', 'Ciupercǎ, Ionel Sorin', 'Ronan Perrussel', 'Moncef Mahjoub', 'Human Rézaei', 'Léon Matar Tiné', 'Jai, Mohammed', 'Nadia Benhaboucha', 'Paul Lemarre', 'Liviu Iulian Palade', 'Soumaya Boujena', 'Imad, Hafidi', 'Michèlle Chambat', 'Dragoş Iftimie', 'Erwan Hingant', 'Clair Poignard', 'Mahdi Boukrouche', 'Nicolas Torres', 'Laurent Pujo-Menjouet', 'Alfredo Jaramillo', 'Vitaly A. Volpert', 'Pauline Mazzocco', 'Martín Andrade-Restrepo', 'Abdelkader E.K. Lakmeche', 'Guy Bayada', 'Abdellatif Agouzal', 'Adriana Valentina Busuioc', 'J. Ignacio Tello', 'Adrien Petrov', 'Buscaglia, Gustavo C.']"
58184510600,"El Bahy, Siham",Morocco,0,3,0,0.0,"['58183809000', '58184510600', '16067923100']","['Hind Ait Mait', 'El Bahy, Siham', 'Aboutabit, Noureddine']"
57194031595,"Abdellatif, Lasbahani",Morocco,13,11,2,0.21,"['57194031595', '57191969067', '6506730355', '57540060900', '57222166319', '56574851000', '9432787600', '55039430000', '57196004260', '15753326700', '57202865237']","['Abdellatif, Lasbahani', 'Mostafa Chhiba', 'Abdelmoumen Tabyaoui', 'Mohamed Bahri', 'Taoussi, Chaimae', 'Youssef Balouki', 'Metrane, Abdelmoutalib', 'Ahmed Mouhsen', 'Abdessamad Jarrar', 'Imad, Hafidi', 'Hajar Lagraini']"
57202849162,"Khalfi, Hamza",Morocco,29,11,3,0.38,"['57222063445', '6701382955', '57202849162', '56168902600', '24558716900', '56593286300', '57202851320', '57345703800', '16067923100', '57194380165', '56485972100', '15753326700', '57217042219', '51864221500', '56784321200', '57210186235']","['Ourdou, Amal', 'Guedda, Mohammed', 'Khalfi, Hamza', 'Ghazdali, Abdelghani', 'Alaa, Nour Eddine', 'El Malki, Imane', 'Aarab, Amal', 'Labdiad, Fatah', 'Aboutabit, Noureddine', 'Lamghari, Nidal', 'Laghrib, Amine', 'Imad, Hafidi', 'Aassem, Youssef', 'Nachaoui, Mourad', 'Hadri, Aissam', 'Nasri, Mehdi']"
57345703800,"Labdiad, Fatah",Morocco,0,2,0,0.0,"['15753326700', '57345703800', '57210186235']","['Imad, Hafidi', 'Labdiad, Fatah', 'Nasri, Mehdi']"
56433548800,"Idrissi, Nadia",Morocco,26,6,3,1.16,"['57205406993', '56433548800']","['Ifzarne, Samir', 'Idrissi, Nadia']"
16067923100,"Aboutabit, Noureddine",Morocco,343,41,7,0.57,"['55505648000', '57208248277', '58184510600', '57031978900', '57202849162', '16067923100', '55611903700', '57194380165', '57219438560', '24282252400', '55910753600', '57217042219', '35618091300', '57210234245', '58184086100', '15753326700', '7003803108', '6506977631', '6603620416', '58183809000', '57219499040', '57200595982', '23481175000', '6507834675']","['Said El Kafhali', 'Mohammed Srati', 'El Bahy, Siham', 'El Hadfi, Youssef', 'Khalfi, Hamza', 'Aboutabit, Noureddine', 'Youssef Saadi', 'Lamghari, Nidal', 'Najat Tissir', 'Sébastien Stillittano', 'Alice Caplier', 'Aassem, Youssef', 'Lale Akarun', 'Sara Baghdadi', 'Mohamed Dahbali', 'Imad, Hafidi', 'Gérard Bailly', 'Panikos Heracleous', 'Laurent Besacier', 'Hind Ait Mait', 'Sbai, Abdelaaziz', 'Lazaar, Mohamed', 'Thomas Burger', 'Denis Beautemps']"
57194380165,"Lamghari, Nidal",Morocco,82,9,3,4.87,"['56168902600', '57202849162', '16067923100', '55498263300', '57194380165', '57222163613', '6507249017', '15753326700', '57205406993', '57222063445']","['Ghazdali, Abdelghani', 'Khalfi, Hamza', 'Aboutabit, Noureddine', 'Charaf, My El Hassan', 'Lamghari, Nidal', 'Tabbaa, Hiba', 'Raghay, Said', 'Imad, Hafidi', 'Ifzarne, Samir', 'Ourdou, Amal']"
58184222300,"Jbel, Mouad",Morocco,0,2,0,0.0,"['15753326700', '58183671900', '58184222300']","['Imad, Hafidi', 'Jabrane, Mourad', 'Jbel, Mouad']"
