Titre de l'article,Titre de source,Résumé,ISSN,SJR
A multi-frame super-resolution using diffusion registration and a nonlocal variational image restoration,Computers & Mathematics with Applications,"In this paper, we present a new approach of multi-frame super-resolution (SR). The SR techniques strongly depend on the availability of accurate motion estimation. When the estimation of motion is not well established, as usually happens for non-parametric motion, annoying artifacts appear in the super-resolved image. Since SR problems suffer from the motion and blur estimations, new techniques are considered to improve the registration and restoration steps. The proposed method consists of a non-parametric image registration based on diffusion regularization and a nonlocal Laplace regularizer combined with a bilateral filter (BTV) in the reconstruction step to remove noise and motion outliers. The diffusion registration is employed to handle the small deformation between the unregistered images, while the combination of nonlocal Laplace and BTV is used to increase the robustness of the restoration step …",08981221,3.084
A new method for the extraction of fetal ECG from the dependent abdominal signals using blind source separation and adaptive noise cancellation techniques,Theoretical Biology and Medical Modelling,"Background
The electrocardiogram (ECG) is a diagnostic tool that records the electrical activity of the heart, and depicts it as a series of graph-like tracings, or waves. Being able to interpret these details allows diagnosis of a wide range of heart problems. Fetal electrocardiogram (FECG) extraction has an important impact in medical diagnostics during the mother pregnancy period. Since the observed FECG signals are often mixed with the maternal ECG (MECG) and the noise induced by the movement of electrodes or by mother motion, the separation process of the ECG signal sources from the observed data becomes quite complicated. One of its complexity is when the ECG sources are dependent, thus, in this paper we introduce a new approach of blind source separation (BSS) in the noisy context for both independent and dependent ECG signal source. This approach consist in …",17424682,1.389
New blind source separation method of independent/dependent sources,Signal Processing,"We introduce a new blind source separation approach, based on modified Kullback–Leibler divergence between copula densities, for both independent and dependent source component signals. In the classical case of independent source components, the proposed method generalizes the mutual information (between probability densities) procedure. Moreover, it has the great advantage to be naturally extensible to separate mixtures of dependent source components. Simulation results are presented showing the convergence and the efficiency of the proposed algorithms.",01651684,4.235
A multi-frame super-resolution based on new variational data fidelity term,Applied Mathematical Modelling,"The main idea of multi-frame super-resolution (SR) algorithm is to recover a single high-resolution (HR) image from a sequence of low resolution ones of the same scene. Since the restoration step of super-resolution algorithms is always an ill-posed problem, the choice of the fidelity term and the regularization are always crucial. In this paper, we propose a new variational SR framework based on an automatic selection of the weighting parameter that control the balance between the L1 and L2 fidelity terms, which handle different type of noise distributions. Concerning the regularization, we use the combined total variation (TV) and the total variation of the first derivatives (TV2) model with a new implementation of the Primal-dual algorithm to solve the corresponding discretized problem. The obtained results are compared with some competitive algorithms and confirm that the proposed method has much benefices …",0307904X,5.175
Blind noisy mixture separation for independent/dependent sources through a regularized criterion on copulas,Signal Processing,"The paper introduces a new method for Blind Source Separation (BSS) in noisy instantaneous mixtures of both independent or dependent source component signals. This approach is based on the minimization of a regularized criterion. Precisely, it consists in combining the total variation method for denoising with the Kullback–Leibler divergence between copula densities. The latter takes advantage of the copula to model the structure of the dependence between signal components. The obtained algorithm achieves separation in a noisy context where standard BSS methods fail. The efficiency and robustness of the proposed approach are illustrated by numerical simulations.",01651684,4.235
Digital document image restoration using a blind source separation method based on copulas,Journal of Physics: Conference Series,"In the last few decades, digital image degradation issues, such as blur and noise due to the scanning process or the presence of spots, underwriting, overwriting or bleed-through/show-through effects on the image's background has been a popular research field. To solve this problem, many background removal methods has been introduced in the literature which are based on local or adaptive filters in order to deal with the low-contrast issue. For this paper, we will be focusing on the bleed-through/show-through effects, which is already resolved in literature by an analogy between the front-ground and the background of the image, that is to say, a recognition of two images is required. To fix that problem, we suggest a new restoration method using blind source separation based on copulas theory that models the dependency structure, with the aim of improving text readability and OCR efficiency.","17426588, 17426596",0.563
A new convolutive source separation approach for independent/dependent source components,Digital Signal Processing,"In this paper, a new source separation approach, for linear convolutive mixtures of independent/dependent source components, is presented. It consists in minimizing an appropriate separation criterion, measuring the difference between the nonparametric copula density of the estimated sources and semiparametric copula densities modeling the dependency structure of the source components. The proposed approach represents an efficient tool for separating linear convolutive mixtures, especially, when the source components are statistically dependent, if prior information about the dependency structure of the source components is available.","10512004, 10954333",3.54
Blind separation of instantaneous mixtures of independent/dependent sources,"Circuits, Systems, and Signal Processing","Blind Source Separation (BSS) has always been an active research field within the signal processing community; it is used to reconstruct primary source signals from their observed mixtures. Independent Component Analysis has been and is still used to solve the BSS problem; however, it is based on the mutual independence of the original source signals. In this paper, we propose to use Copulas to model the dependency structure between these signals, enabling the separation of dependent source components; we also deploy -divergence as our cost function to minimize, considering its superiority to handle noisy data as well as its ability to converge faster. We test our approach for various values of alpha and give a comparative study between the proposed methodology and other existing methods; this approach exhibited a higher quality performance and accuracy, especially when the value of is …","0278081X, 15315878",2.204
Robust approach for blind separation of noisy mixtures of independent and dependent sources,Applied and Computational Harmonic Analysis,"The framework of this article is to introduce a new efficient Blind Source Separation (BSS) method that handles mixtures of noise-contaminated independent / dependent sources. In order to achieve that, one can minimize a criterion that fuses a separating part, based on Kullback–Leibler divergence to set apart the observed mixtures of either dependent or independent sources, with a regularization part that employs the bilateral total variation (BTV) for the purpose of denoising the observations. The proposed algorithm utilizes a primal-dual algorithm to remove the noise, while a gradient descent method is implemented to retrieve the source signals. Our algorithm has shown its effectiveness and efficiency toward the noisy dependent / independent sources and also surpassed the standard BSS algorithms through different experimental results.","10635203, 1096603X",2.734
Multiframe super‐resolution based on a high‐order spatially weighted regularisation,IET Image Processing,"Here, the authors propose a spatially weighted super‐resolution (SR) algorithm, which takes into consideration the distribution of every information that characterise different image areas. The authors investigate to use a combined spatially weighted regularisation of the bilateral total variation and a second‐order term increasing then the robustness of the proposed SR approach with respect to blur and noise degradations. In addition, the authors propose an iterative Bregman iteration algorithm to resolve the obtained optimisation SR problem. As a result, this regularisation is more efficient and easier to implement; moreover, it preserves well the smooth regions of the image and also sharp edges. Using different simulated and real tests, the authors prove the efficiency of the proposed algorithm compared to some SR methods.","17519659, 17519667",2.818
