Author_ID,Author_Name,Author_Affiliation,Author_Citations,Author_Documents_number,H-index,FWCI,Co_authors_Names
15753326700.0,"Imad, Hafidi",Morocco,163.0,53.0,7.0,1.17,"['Ciupercǎ, Ionel Sorin', 'El Bahy, Siham', 'Abdellatif, Lasbahani', 'Khalfi, Hamza', 'Labdiad, Fatah', 'Idrissi, Nadia', 'Aboutabit, Noureddine', 'Lamghari, Nidal', 'Jbel, Mouad', 'Azouani, Abderrahim', 'Aassem, Youssef', 'Azoua, Mohammed', 'Hadri, Aissam', 'Jai, Mohammed', 'Rochd, Yassir', 'Lakouam, Issam', 'Ennaji, Fatima Zohra', 'Metrane, Abdelmoutalib', 'Imad, Hafidi', 'Tabbaa, Hiba', 'Ifzarne, Samir', 'Nachaoui, Mourad', 'Aboutabit, Noureddine', 'Ouartassi, Bajil', 'Mellouli, Oumaima', 'Karim, Marouane', 'Nasri, Mehdi', 'Taoussi, Chaimae', 'Lazaar, Mohamed', 'Jabrane, Mourad', 'Jamali, Anouar', 'Buscaglia, Gustavo C.', 'Alami, Lamiae']"
8907520500.0,"Ciupercǎ, Ionel Sorin",France,400.0,50.0,12.0,0.34,"['Arnaud Heibig', 'Eduard Feireisl', 'Ciupercǎ, Ionel Sorin', 'Ronan Perrussel', 'Moncef Mahjoub', 'Human Rézaei', 'Léon Matar Tiné', 'Jai, Mohammed', 'Nadia Benhaboucha', 'Paul Lemarre', 'Liviu Iulian Palade', 'Soumaya Boujena', 'Imad, Hafidi', 'Michèlle Chambat', 'Dragoş Iftimie', 'Erwan Hingant', 'Clair Poignard', 'Mahdi Boukrouche', 'Nicolas Torres', 'Laurent Pujo-Menjouet', 'Alfredo Jaramillo', 'Vitaly A. Volpert', 'Pauline Mazzocco', 'Martín Andrade-Restrepo', 'Abdelkader E.K. Lakmeche', 'Guy Bayada', 'Abdellatif Agouzal', 'Adriana Valentina Busuioc', 'J. Ignacio Tello', 'Adrien Petrov', 'Buscaglia, Gustavo C.']"
58184510600.0,"El Bahy, Siham",Morocco,0.0,3.0,0.0,0.0,"['Hind Ait Mait', 'El Bahy, Siham', 'Aboutabit, Noureddine']"
57194031595.0,"Abdellatif, Lasbahani",Morocco,13.0,11.0,2.0,0.21,"['Abdellatif, Lasbahani', 'Mostafa Chhiba', 'Abdelmoumen Tabyaoui', 'Mohamed Bahri', 'Taoussi, Chaimae', 'Youssef Balouki', 'Metrane, Abdelmoutalib', 'Ahmed Mouhsen', 'Abdessamad Jarrar', 'Imad, Hafidi', 'Hajar Lagraini']"
57202849162.0,"Khalfi, Hamza",Morocco,29.0,11.0,3.0,0.38,"['Ourdou, Amal', 'Guedda, Mohammed', 'Khalfi, Hamza', 'Ghazdali, Abdelghani', 'Alaa, Nour Eddine', 'El Malki, Imane', 'Aarab, Amal', 'Labdiad, Fatah', 'Aboutabit, Noureddine', 'Lamghari, Nidal', 'Laghrib, Amine', 'Imad, Hafidi', 'Aassem, Youssef', 'Nachaoui, Mourad', 'Hadri, Aissam', 'Nasri, Mehdi']"
57345703800.0,"Labdiad, Fatah",Morocco,0.0,2.0,0.0,0.0,"['Imad, Hafidi', 'Labdiad, Fatah', 'Nasri, Mehdi']"
56433548800.0,"Idrissi, Nadia",Morocco,26.0,6.0,3.0,1.16,"['Ifzarne, Samir', 'Idrissi, Nadia']"
16067923100.0,"Aboutabit, Noureddine",Morocco,343.0,41.0,7.0,0.57,"['Said El Kafhali', 'Mohammed Srati', 'El Bahy, Siham', 'El Hadfi, Youssef', 'Khalfi, Hamza', 'Aboutabit, Noureddine', 'Youssef Saadi', 'Lamghari, Nidal', 'Najat Tissir', 'Sébastien Stillittano', 'Alice Caplier', 'Aassem, Youssef', 'Lale Akarun', 'Sara Baghdadi', 'Mohamed Dahbali', 'Imad, Hafidi', 'Gérard Bailly', 'Panikos Heracleous', 'Laurent Besacier', 'Hind Ait Mait', 'Sbai, Abdelaaziz', 'Lazaar, Mohamed', 'Thomas Burger', 'Denis Beautemps']"
57194380165.0,"Lamghari, Nidal",Morocco,82.0,9.0,3.0,4.87,"['Ghazdali, Abdelghani', 'Khalfi, Hamza', 'Aboutabit, Noureddine', 'Charaf, My El Hassan', 'Lamghari, Nidal', 'Tabbaa, Hiba', 'Raghay, Said', 'Imad, Hafidi', 'Ifzarne, Samir', 'Ourdou, Amal']"
58184222300.0,"Jbel, Mouad",Morocco,0.0,2.0,0.0,0.0,"['Imad, Hafidi', 'Jabrane, Mourad', 'Jbel, Mouad']"
