ID de l'Auteur,Nom Complet,Pays d'Affiliation,Citations Totales,H-index,FWCI,Co-auteurs
M_pAZvwAAAAJ,Abdelghani Ghazdali,,188,7,N/A,
wy1-Uk8AAAAJ,Ahmed Aghriche,,57,3,N/A,Aziz-Alaoui M.A.; Yafia Radouane; Abdessamad Tridane; Fathalla A. Rihan (PhD & DSc)
DVdULsAAAAAJ,Aziz-Alaoui M.A.,Page d'accueil,4459,32,N/A,Cyrille Bertelle; Yafia Radouane; Benjamin Ambrosio; Nathalie Corson; Gérard HE Duchamp; Zaid Odibat; Christophe Letellier; Ali Moussaoui; Argha Mondal; Ranjit Kumar Upadhyay; BOWONG Samuel; Celso Grebogi; Jinhu Lu; Abdessamad Tridane; Yichao Zhang; Jihong Guan; maciej krupa; Tewa JEAN-JULES; Saber Elaydi; Guanrong Chen; Sunita Gakkhar; Marius-F. Danca; Michael Small; Fathalla A. Rihan (PhD & DSc); Hüseyin Merdan; Dany Moualeu-Ngangué; Samira EL YACOUBI; Genaro Juarez Martinez; Arti Awasthi; Oleksandr Sharkovsky
Twj3qDQAAAAJ,Cyrille Bertelle,,1589,17,N/A,Aziz-Alaoui M.A.; Gérard H. E. Duchamp; Pierrick Tranouez; Zaid Odibat; Frederic Guinand; Clément DUHART; Nesrine Masmoudi
Yuuu8_cAAAAJ,Yafia Radouane,Page d'accueil,736,17,N/A,Aziz-Alaoui M.A.; Abdessamad Tridane; Fathalla A. Rihan (PhD & DSc); Professor Mohamud Sheek-Hussein; Hüseyin Merdan; Benjamin Ambrosio; MUHAMMAD BILAL RIAZ; Adel Hashish; Ali Moussaoui; Azgal Abichou; Serdar Goktepe; Khalid Hattaf; Tewa JEAN-JULES; Samira EL YACOUBI; Abdessamad el Alami; Prof. Fatma AlMaskari; El Mehdi Lotfi
cbTKHw8AAAAJ,Benjamin Ambrosio,Page d'accueil,438,11,N/A,Aziz-Alaoui M.A.; Yafia Radouane; maciej krupa; Jean-Pierre Françoise; Shigui Ruan; Arnaud Ducrot; Sunita Gakkhar; Aymen Balti; Arti Awasthi
ejTxUcYAAAAJ,Nathalie Corson,,482,11,N/A,Aziz-Alaoui M.A.; Cyrille Bertelle; Arnaud Banos; Nicolas Marilleau; Benoit Gaudou; Sébastien Rey-Coyrehourcq; Zaid Odibat; David Sheeren; ludovic SEIFERT
i56pIR8AAAAJ,Gérard H. E. Duchamp,Paris 13 University,2911,27,N/A,Jean-Yves Thibon; Nicolas M. Thiéry
0JPLS50AAAAJ,Zaid Odibat,Al-Balqa Applied University,13586,52,N/A,
il6x-fUAAAAJ,Christophe Letellier,Page d'accueil,7362,45,N/A,Luis A. Aguirre; gouesbet; Fabrice DENIS MD PhD; Otto E. Rossler; Claudia Lainscsek; Irene Sendina-Nadal; Jean-Pierre Barbot; Aziz-Alaoui MA; François Lusseyran; Eduardo MAM Mendes; Gleison Fransoares Vasconcelos Amaral; Greg Byrne; Carole Querel; Dibakar Ghosh; Giovani Guimarães Rodrigues; Terrence Sejnowski; Leonardo L. Portes; Murilo da Silva Baptista; Zoltán Kolláth; Syamal K. Dana; Saber Elaydi; Boujema Izrar; Nikolai Rulkov; Marc Lefranc; Madalin Frunzete; Stefano Di Gennaro; Istvan Z. Kiss
