Titre de l’article,Auteurs,Date de publication,Titre de la source,Mots-clés,Nombre de citations,DOI,Résumé,Type de document,issn
OSCILLATIONS INDUCED BY QUIESCENT ADULT FEMALE IN A MODEL OF WILD AEDES AEGYPTI MOSQUITOES,"Aghriche, A ; Yafia, R ; Alaoui, MAA ; Tridane, A",SEP 2020,DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES Sarrow_drop_down, BIFURCATION-ANALYSIS ; POPULATION-DYNAMICS ; DENGUE ; STABILITY ; FEVER ; DELAY Ae. aegypti ; DDE ; stability ; Hopf bifurcation ; direction of bifurcation,0,10.3934/dcdss.2020194,"Aedes aegypti (Ae. aegypti: mosquito) is a known vector of several viruses including yellow fever, dengue, chikungunya and zika. In the current paper, we present a delayed mathematical model describing the dynamics of Ae. aegypti. Our model is governed by a system of three delay differential equations modeling the interactions between three compartments of the Ae. aegypti life cycle (females, eggs and pupae). By using time delay as a parameter of bifurcation, we prove stability/switch stability of the possible equilibrium points and the existence of bifurcating branch of small amplitude periodic solutions when time delay crosses some critical value. We establish an algorithm determining the direction of bifurcation and stability of bifurcating periodic solutions. In the end, some numerical simulations are carried out to support theoretical results..",Article;,1937-1632
Oscillations Induced by Quiescent Adult Female in a Reaction-Diffusion Model of Wild Aedes Aegypti Mosquitoes,"Aghriche, A ; Yafia, R ; Alaoui, MAA ; Tridane, A ; Rihan, FA",DEC 15 2019,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOSarrow_drop_down, HOPF-BIFURCATION ANALYSIS ; STABILITY Aedes aegypti dynamics ; reaction-diffusion system ; DDE ; Hopf bifurcation,4,10.1142/S021812741950189X,"This paper takes the reaction-diffusion approach to deal with the quiescent females phase, so as to describe the dynamics of invasion of aedes aegypti mosquitoes, which are divided into three subpopulations: eggs, pupae and female. We mainly investigate whether the time of quiescence (delay) in the females phase can induce Hopf bifurcation. By means of analyzing the eigenvalue spectrum, we show that the persistent positive equilibrium is asymptotically stable in the absence of time delay, but loses its stability via Hopf bifurcation when time delay crosses some critical value. Using normal form and center manifold theory, we investigate the stability of the bifurcating branches of periodic solutions and the direction of the Hopf bifurcation. Numerical simulations are carried out to support our theoretical results.",Article,0218-1274
Turing Instability and Hopf Bifurcation in a Modified Leslie-Gower Predator-Prey Model with Cross-Diffusion,"Abid, W ; Yafia, R ; Aziz-Alaoui, MA ; Aghriche, A",JUN 30 2018,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOSarrow_drop_down, STABILITY ; SYSTEM ; DYNAMICS ; EXISTENCE Cross-diffusion ; Hopf bifurcation ; pattern formation ; Turing instability,22,10.1142/S021812741850089X,"This paper is concerned with some mathematical analysis and numerical aspects of a reaction-diffusion system with cross-diffusion. This system models a modified version of Leslie-Gower functional response as well as that of the Holling-type II. Our aim is to investigate theoretically and numerically the asymptotic behavior of the interior equilibrium of the model. The conditions of boundedness, existence of a positively invariant set are proved. Criteria for local stability/instability and global stability are obtained. By using the bifurcation theory, the conditions of Hopf and Turing bifurcation critical lines in a spatial domain are proved. Finally, we carry out some numerical simulations in order to support our theoretical results and to interpret how biological processes affect spatiotemporal pattern formation which show that it is useful to use the predator-prey model to detect the spatial dynamics in the real life.",Article,0218-1274
REDUCING THE INTERPROCESSORS MIGRATIONS OF THE EKG ALGORITHM,"Daoudi, E ; Dargham, A ; Kerfali, A ; Khatiri, M",SEP 2018,SCALABLE COMPUTING-PRACTICE AND EXPERIENCEarrow_drop_down, Real time scheduling ; EKG ; semi-partitioning real time scheduling ; inter processor migrations,1,10.12694/scpe.v19i3.1397,"In this work, we consider the scheduling problem of a set of periodic implicit-deadline and synchronous tasks, on a real-time multiprocessor composed of m identical processors. It is known that the cost of migrations and preemptions has significant influence on global system performances. The EKG algorithm can generate a great number of migrant tasks, but it has the advantage that each migrant task migrates between two processors only. Later, the EDHS algorithm has been proposed in order to minimize the number of migrant tasks of EKG. Although EDHS minimizes the number of migration compared to EKG, its drawback is the generation of additional preemptions caused by the migrations on several processors. In this paper we propose a new tasks allocation algorithm that aims to combine the advantages of EKG (migrations between two processors only) and those of EDHS (reduction of number of migrations).",Article,1895-1767
STIG: A Generic Intelligent Tutoring System a Multi-agents Based Model,"Serrhini, M ; Dargham, A",2016,"PROCEEDINGS OF THE MEDITERRANEAN CONFERENCE ON INFORMATION & COMMUNICATION TECHNOLOGIES 2015 (MEDCT 2015), VOL 2", Intelligent tutoring system ; Multi-agents system ; Object-oriented modelling ; UML ; JADE,0,10.1007/978-3-319-30298-0_44,"In this paper is described the design of an intelligent tutoring system model based on multi-agents approach. The purpose is to create a simple-but generic-model that allows us to rapidly derivate an intelligent tutoring system. The model is designed by using the universal language modeling (UML), the platform Jade for multi-agents programming and The Java NetBeans IDE. Our future objective is to use the developed model to create ITSs as supplements for several courses in the Faculty of Sciences (University Mohamed Premier).",Proceedings Paper,1876-1100
Reducing the inter processor migrations of the DP-WRAP scheduling,"Daoudi, E ; Dargham, A ; Kerfali, A ; Khatiri, M",2015,2015 IEEE/ACS 12TH INTERNATIONAL CONFERENCE OF COMPUTER SYSTEMS AND APPLICATIONS (AICCSA), Real time scheduling ; global scheduling ; DP-Fair ; DP-WRAP algorithm ; multiprocessor system ; inter processors migrations,0,,"In this work, we consider the scheduling problem of a set of periodic implicit-deadline and synchronous tasks, on a real-time multiprocessor composed of m identical processors. Our contribution consists in improving the temporal distribution ofDPWRAP algorithm by reducing the number of migrations. Indeed, DP-WRAP algorithm assigns tasks randomly and does not take into account the cost of migrations which can reach (m-I) migrations in the worst case. Note that recent experiments upon real platforms show that the cost of migrations has an influence on global system performance. Instead of randomly assigning tasks, we have proposed a task assignment algorithm that has reduced significantly the number of migrations of the DP-WRAP. The first step of the proposed algorithm, based on the classical bin-packing heuristics, allows minimizing the number of migrant tasks, the second step consists in assigning efficiently the migrant tasks. Experimental simulations show that the number of migrations, compared to DP-WRAP, is significantly reduced. This reduction can reach 60%",Proceedings Paper,2161-5322
Improve security of web Browser with stand-alone e-Learning awareness application,"Serrhini, M ; Dargham, A ; Ait-Moussa, AA",2012,2012 INTERNATIONAL CONFERENCE ON MULTIMEDIA COMPUTING AND SYSTEMS (ICMCS), HOME USERS E-learning security awareness ; Browser security ; Student Computer Security,1,,"We are living in the electronic age where electronic transactions such as e-mail, e-banking, e-commerce, and e-learning etc.. are becoming more and more prominent. To access online for this services, web browser is today's almost unique software used. These days' hackers know that browsers are installed into all computers, and can be used to compromise a machine by distributing malware via malicious or hacked websites. Also these sites use JavaScript to manipulate web browsers and can drive user system to failures, each web browsers have features that define theirs behaviors, unfortunately most of users are unwilling to enable or disable this features, because many of them still do not understand even basic security concepts, This paper will briefly describe some specific web browser features misconfiguration and associated risks, also we present an application that will check configuration of selected web browser in order to find all misconfigured features, and propose to student through tailored e-learning awareness program to reconfigure them securely.",Proceedings Paper,2472-7652
Determining the potato samples processed manner with an electronic nose system supported by a machine-learning approach,"Amkor, A ; Aboulkacem, A ; El Bannay, O ; El Barbri, N",AUG 1 2024,MEASUREMENT SCIENCE AND TECHNOLOGYarrow_drop_down, INORGANIC FERTILIZERS ; MINERAL-CONTENT ; SOFT-ROT ; DIFFERENTIATION ; DISCRIMINATION ; SPOILAGE ; YIELD ; L. gas sensor ; electronic nose ; microbiological analyses ; data analysis ; machine learning ; support vector machines (SVM),1,10.1088/1361-6501/ad440f,"Through several studies, electronic nose (E-nose) devices have been demonstrated to serve as useful measurement equipment for the fast and reliable analysis of complex odour profiles in a wide range of fields, including the area of ensuring food safety. In the same perspective, i.e. checking food safety comes this work, where potatoes are assessed using an E-nose principally made of five metal oxide gas sensors supported with a machine learning algorithm, said evaluation is based on their origin fields: naturally treated, treated with chemical NPK fertilizers, or treated with chicken manure. The technique of support vector machines has been exploited for the data obtained from the multi-sensor system in order to distinguish the potato types mentioned by following two methods: a direct method where all the data have been exploited with a rate of success of 91.7%, and a composed method where the classification was first between naturally treated samples and those treated differently with a success rate of 96.7%, then a classification between those treated differently had a 92.5% success rate. A microbiological analysis was also carried out and its results were compared with those obtained by the E-nose. As per the two methods' results, the distinction of the potato types by the nature of the cultivated fields is possible with the recording of the multisensory system superiority due to response time, low cost, simplicity, and portability.",Article,0957-0233
An Intelligent Machine Learning Based Routing Scheme for VANET,"Kandali, K ; Bennis, L ; El Bannay, O ; Bennis, H",2022,IEEE ACCESSarrow_drop_down, AD HOC NETWORKS ; CLUSTERING-ALGORITHM ; PROTOCOL ; OPTIMIZATION ; AWARE Clustering algorithms ; Vehicular ad hoc networks ; Routing ; Urban areas ; Magnetic heads ; Reliability ; Machine learning algorithms ; Clustering ; density peak clustering ; machine learning ; particle swarm optimization ; routing ; vehicular ad-hoc NETwork,20,10.1109/ACCESS.2022.3190964,"Today, Vehicular Ad-hoc Networks (VANET) have become an interesting research topic for developing Intelligent Transport Systems. In urban environments, vehicles move continuously and at different speeds, which leads to frequent changes in the network topology. The main issue faced in an urban scenario is the performance of routing protocols when delivering data from one vehicle to another. This paper introduces ECRDP, an Efficient Clustering Routing approach using a new clustering algorithm based on Density Peaks Clustering (DPC) and Particle Swarm Optimization (PSO). First, the PSO algorithm is applied to determine the cluster heads, or a new fitness function for finding the best solutions is formulated using the DPC algorithm. Next, clustering is performed based on the reliability of links parameter between vehicles. Then, a maintenance phase is proposed to update the cluster heads and redistribute the vehicles in the clusters. Finally, the effectiveness of the suggested scheme is evaluated by a simulation operated by MATLAB on a real urban scenario. The results achieved show an overall increase in stability, proven by a reduction in change rate by 74%, and an improvement in performance indicated by an increase in intra-cluster throughput by 34% and inter-cluster by 47%, as well as an overall reduction of average delay by 16%.",Article,2169-3536
Implementation of a lithium-ion battery state of charge estimation algorithm for BMS on the real time target NI myRio,"Boukhal, MA ; Lagrat, I ; Elbannay, O",2019,"2019 INTERNATIONAL CONFERENCE ON WIRELESS TECHNOLOGIES, EMBEDDED AND INTELLIGENT SYSTEMS (WITS)", BMS ; SOC ; Battery ; Coulomb-Counter ; LabView ; implementation ; real time ; control,5,10.1109/wits.2019.8723849,"One of the most critical for the purposes of a Battery Management Systems (BMS) is estimating the State of Charge (SoC) of the battery cells. It helps to protect battery from serious problems and save its life from the early degradation. Since the battery possesses a limited capacity, advanced techniques should be employed to approximate exactly the SoC so as to remain battery security and allowing it to operate within the suitable and recommended conditions and also to extend as long as possible its life cycle. The problem considered in this work is the study of a battery cells state of charge approximation approaches: namely the coulomb counter, the terminal circuit voltage and the mix algorithm between these two techniques. At the end the design and implementation of this algorithm is tested on a real time target NI myRIO programming with NI Labview.",Proceedings Paper,
Application for visualization of arab manuscripts,"El Bannay, O ; Benslimane, R ; Rais, N ; El Makhfi, N",2009,"2009 IEEE/ACS INTERNATIONAL CONFERENCE ON COMPUTER SYSTEMS AND APPLICATIONS, VOLS 1 AND 2",,1,10.1109/AICCSA.2009.5069415,In this article we describe an approach to the massive production of digital images of manuscripts to be published on the Internet. The goal of this work is to offer an easy-to-use interface that allows customizable views of images manuscript in several sizes and provide searching and browsing functionality for users of arabic manuscripts using an XML representation for metadata and annotation of manuscript that uses the emerging Text Encoding Initiative (TEI) standard from W3C for the representation of manuscripts.,Proceedings Paper,
"MATHEMATICAL MODEL ANALYSIS OF HEPATITIS C WITH CARDIAC SIDE EFFECTS BEFORE, DURING, AND AFTER RECEIVING DIRECT ACTING ANTIVIRALS TREATMENT","EL Mourabit, C ; Fatmi, NI",2024,COMMUNICATIONS IN MATHEMATICAL BIOLOGY AND NEUROSCIENCEarrow_drop_down, DYNAMICS IN-VIVO hepatitis C ; acute stage ; chronic stage ; direct acting antiviral ; mathematical model ; stability.,0,10.28919/cmbn/8576,"Hepatitis C virus (HCV) is a blood-borne infection that can lead to liver failure, cirrhosis, hepatocellular carcinoma, and death. Direct-acting antivirals (DAAs) are a relatively new therapeutic approach, the most efficient and safest hepatitis C treatment. However, DAAs can have divergent effects on heart health. The side effects of DAAs on the heart are called cardiotoxicity. Therefore, we built a mathematical model based on hepatitis C patients, showed the positivity and boundedness of the system solution, and determined the equilibrium point and its stability by exploiting the Routh Hurwitz criteria, which established an asymptotically stable equilibrium point. Finally, we performed numerical simulations to evaluate these results.",Article,2052-2541
