issn,scope,index,h_index,quartile.year,quartile.quartile_value,sjr.year,sjr.sjr_value,impact_factor.year,impact_factor.impact_factor_value,quartile
1937-1632,"Series S of Discrete and Continuous Dynamical Systems only publishes theme issues. Each issue is devoted to a specific area of the mathematical, physical and engineering  sciences. This area will define a research frontier that is advancing rapidly, often bridging mathematics and sciences. DCDS-S is essential reading for mathematicians, physicists, engineers and other physical scientists. The journal is published bimonthly.",WOS,40,2023,Q2,2023,0.541,2023,1.591,
0218-1274,"The International Journal of Bifurcation and Chaos is widely regarded as a leading journal in the exciting fields of chaos theory and nonlinear science. Represented by an international editorial board comprising top researchers from a wide variety of disciplines, it is setting high standards in  scientific and production quality. The journal has been reputedly acclaimed by the scientific community around the world, and has featured many important papers by leading researchers from various areas of applied  sciences and engineering. The discipline of chaos theory has created a universal paradigm, a scientific parlance, and a mathematical tool for grappling with complex dynamical phenomena. In every field of applied sciences (astronomy, atmospheric sciences, biology, chemistry, economics, geophysics, life and medical sciences, physics, social sciences, ecology, etc.) and engineering (aerospace, chemical, electronic, civil, computer, information, mechanical, software, telecommunication, etc.), the local and global manifestations of chaos and bifurcation have burst forth in an unprecedented universality, linking scientists heretofore unfamiliar with one another's fields, and offering an opportunity to reshape our grasp of reality.",WOS,116,2023,Q1,2023,0.570,2023,2.088,
0218-1274,"The International Journal of Bifurcation and Chaos is widely regarded as a leading journal in the exciting fields of chaos theory and nonlinear science. Represented by an international editorial board comprising top researchers from a wide variety of disciplines, it is setting high standards in  scientific and production quality. The journal has been reputedly acclaimed by the scientific community around the world, and has featured many important papers by leading researchers from various areas of applied  sciences and engineering. The discipline of chaos theory has created a universal paradigm, a scientific parlance, and a mathematical tool for grappling with complex dynamical phenomena. In every field of applied sciences (astronomy, atmospheric sciences, biology, chemistry, economics, geophysics, life and medical sciences, physics, social sciences, ecology, etc.) and engineering (aerospace, chemical, electronic, civil, computer, information, mechanical, software, telecommunication, etc.), the local and global manifestations of chaos and bifurcation have burst forth in an unprecedented universality, linking scientists heretofore unfamiliar with one another's fields, and offering an opportunity to reshape our grasp of reality.",WOS,116,2023,Q1,2023,0.570,2023,2.088,
1895-1767,"The area of scalable computing has matured and reached a point where new issues and trends require a professional forum. SCPE will provide this avenue by publishing original refereed papers that address the present as well as the future of parallel and distributed computing. The journal will focus on algorithm development, implementation and execution on real-world parallel architectures, and application of parallel and distributed computing to the solution of real-life problems.",WOS,25,2023,Q3,2023,0.308,2023,1.639,
1876-1100,"The book series Lecture Notes in Electrical Engineering (LNEE) publishes the latest developments in Electrical Engineering - quickly, informally and in high quality. While original research reported in proceedings and monographs has traditionally formed the core of LNEE, we also encourage authors to submit books devoted to supporting student education and professional training in the various fields and applications areas of electrical engineering. The series cover classical and emerging topics concerning: -Communication Engineering, Information Theory and Networks- Electronics Engineering and Microelectronics- Signal, Image and Speech Processing- Wireless and Mobile Communication- Circuits and Systems- Energy Systems, Power Electronics and Electrical Machines- Electro-optical Engineering- Instrumentation Engineering- Avionics Engineering- Control Systems- Internet-of-Things and Cybersecurity- Biomedical Devices, MEMS and NEMS",WOS,45,2023,Q4,2023,0.147,2023,0.376,
2161-5322,The ACS/IEEE International Conference on Computer Systems and Applications (AICCSA) is the premier conference covering all contemporary areas in computer systems and applications and hence it is an international forum for leading researchers and practitioners in this important and rapidly changing disciplines.,WOS,26,,,N/A,N/A,N/A,N/A,N/A
2472-7652,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
0957-0233,"Measurement  Science and Technology publishes articles on new measurement techniques and associated instrumentation. Papers that describe experiments must represent an advance in measurement science or measurement technique rather than the application of established experimental technique. Bearing in mind the multidisciplinary nature of the journal, authors must provide an introduction to their work that makes clear the novelty, significance, broader relevance of their work in a measurement context and relevance to the readership of Measurement Science and Technology. All submitted articles should contain consideration of the uncertainty, precision and/or accuracy of the measurements presented. Subject coverage includes the theory, practice and application of measurement in physics, chemistry, engineering and the environmental and life  sciences from inception to commercial exploitation. Publications in the journal should emphasize the novelty of reported methods, characterize them and demonstrate their performance using examples or applications.",WOS,156,2023,Q2,2023,0.523,2023,2.864,
2169-3536,"IEEE Access® is a multidisciplinary, open access (OA), applications-oriented, all-electronic archival journal that continuously presents the results of original research or development across all of IEEE's fields of interest. IEEE Access will publish articles that are of high interest to readers, original, technically correct, and clearly presented. Supported by author publication charges (APC), its hallmarks are a rapid peer review and publication process with open access to all readers. Unlike IEEE's traditional Transactions or Journals, reviews are ""binary"", in that reviewers will either Accept or Reject an article in the form it is submitted in order to achieve rapid turnaround. Especially encouraged are submissions on: Multidisciplinary topics, or applications-oriented articles and negative results that do not fit within the scope of IEEE's traditional journals. Practical articles discussing new experiments or measurement techniques, interesting solutions to engineering. Development of new or improved fabrication or manufacturing techniques. Reviews or survey articles of new or evolving fields oriented to assist others in understanding the new area.",WOS,242,2023,Q1,2023,0.960,2023,4.644,
,N/A,WOS,N/A,,,N/A,N/A,N/A,N/A,N/A
