Titre de l’article,Mots-clés,Résumé,issn,Titre de journal,sjr_score
Oscillations induced by quiescent adult female in a model of wild aedes aegypti mosquitoes," bifurcation-analysis , population-dynamics , dengue , stability , fever , delay ae. aegypti , dde , stability , hopf bifurcation , direction of bifurcation","Aedes aegypti (ae. aegypti: mosquito) is a known vector of several viruses including yellow fever, dengue, chikungunya and zika. in the current paper, we present a delayed mathematical model describing the dynamics of ae. aegypti. our model is governed by a system of three delay differential equations modeling the interactions between three compartments of the ae. aegypti life cycle (females, eggs and pupae). by using time delay as a parameter of bifurcation, we prove stability/switch stability of the possible equilibrium points and the existence of bifurcating branch of small amplitude periodic solutions when time delay crosses some critical value. we establish an algorithm determining the direction of bifurcation and stability of bifurcating periodic solutions. in the end, some numerical simulations are carried out to support theoretical results..",19371632,Discrete and continuous dynamical systems-series s,0.541
Reducing the interprocessors migrations of the ekg algorithm," real time scheduling , ekg , semi-partitioning real time scheduling , inter processor migrations","In this work, we consider the scheduling problem of a set of periodic implicit-deadline and synchronous tasks, on a real-time multiprocessor composed of m identical processors. it is known that the cost of migrations and preemptions has significant influence on global system performances. the ekg algorithm can generate a great number of migrant tasks, but it has the advantage that each migrant task migrates between two processors only. later, the edhs algorithm has been proposed in order to minimize the number of migrant tasks of ekg. although edhs minimizes the number of migration compared to ekg, its drawback is the generation of additional preemptions caused by the migrations on several processors. in this paper we propose a new tasks allocation algorithm that aims to combine the advantages of ekg (migrations between two processors only) and those of edhs (reduction of number of migrations).",18951767,Scalable computing-practice and experience,0.308
Stig: a generic intelligent tutoring system a multi-agents based model," intelligent tutoring system , multi-agents system , object-oriented modelling , uml , jade","In this paper is described the design of an intelligent tutoring system model based on multi-agents approach. the purpose is to create a simple-but generic-model that allows us to rapidly derivate an intelligent tutoring system. the model is designed by using the universal language modeling (uml), the platform jade for multi-agents programming and the java netbeans ide. our future objective is to use the developed model to create itss as supplements for several courses in the faculty of sciences (university mohamed premier).",18761100,"Proceedings of the mediterranean conference on information & communication technologies 2015 (medct 2015), vol 2",0.147
Improve security of web browser with stand-alone e-learning awareness application," home users e-learning security awareness , browser security , student computer security","We are living in the electronic age where electronic transactions such as e-mail, e-banking, e-commerce, and e-learning etc.. are becoming more and more prominent. to access online for this services, web browser is today's almost unique software used. these days' hackers know that browsers are installed into all computers, and can be used to compromise a machine by distributing malware via malicious or hacked websites. also these sites use javascript to manipulate web browsers and can drive user system to failures, each web browsers have features that define theirs behaviors, unfortunately most of users are unwilling to enable or disable this features, because many of them still do not understand even basic security concepts, this paper will briefly describe some specific web browser features misconfiguration and associated risks, also we present an application that will check configuration of selected web browser in order to find all misconfigured features, and propose to student through tailored e-learning awareness program to reconfigure them securely.",24727652,2012 international conference on multimedia computing and systems (icmcs),N/A
Determining the potato samples processed manner with an electronic nose system supported by a machine-learning approach," inorganic fertilizers , mineral-content , soft-rot , differentiation , discrimination , spoilage , yield , l. gas sensor , electronic nose , microbiological analyses , data analysis , machine learning , support vector machines (svm)","Through several studies, electronic nose (e-nose) devices have been demonstrated to serve as useful measurement equipment for the fast and reliable analysis of complex odour profiles in a wide range of fields, including the area of ensuring food safety. in the same perspective, i.e. checking food safety comes this work, where potatoes are assessed using an e-nose principally made of five metal oxide gas sensors supported with a machine learning algorithm, said evaluation is based on their origin fields: naturally treated, treated with chemical npk fertilizers, or treated with chicken manure. the technique of support vector machines has been exploited for the data obtained from the multi-sensor system in order to distinguish the potato types mentioned by following two methods: a direct method where all the data have been exploited with a rate of success of 91.7%, and a composed method where the classification was first between naturally treated samples and those treated differently with a success rate of 96.7%, then a classification between those treated differently had a 92.5% success rate. a microbiological analysis was also carried out and its results were compared with those obtained by the e-nose. as per the two methods' results, the distinction of the potato types by the nature of the cultivated fields is possible with the recording of the multisensory system superiority due to response time, low cost, simplicity, and portability.",09570233,Measurement science and technology,0.523
An intelligent machine learning based routing scheme for vanet," ad hoc networks , clustering-algorithm , protocol , optimization , aware clustering algorithms , vehicular ad hoc networks , routing , urban areas , magnetic heads , reliability , machine learning algorithms , clustering , density peak clustering , machine learning , particle swarm optimization , routing , vehicular ad-hoc network","Today, vehicular ad-hoc networks (vanet) have become an interesting research topic for developing intelligent transport systems. in urban environments, vehicles move continuously and at different speeds, which leads to frequent changes in the network topology. the main issue faced in an urban scenario is the performance of routing protocols when delivering data from one vehicle to another. this paper introduces ecrdp, an efficient clustering routing approach using a new clustering algorithm based on density peaks clustering (dpc) and particle swarm optimization (pso). first, the pso algorithm is applied to determine the cluster heads, or a new fitness function for finding the best solutions is formulated using the dpc algorithm. next, clustering is performed based on the reliability of links parameter between vehicles. then, a maintenance phase is proposed to update the cluster heads and redistribute the vehicles in the clusters. finally, the effectiveness of the suggested scheme is evaluated by a simulation operated by matlab on a real urban scenario. the results achieved show an overall increase in stability, proven by a reduction in change rate by 74%, and an improvement in performance indicated by an increase in intra-cluster throughput by 34% and inter-cluster by 47%, as well as an overall reduction of average delay by 16%.",21693536,Ieee access,0.960
Dynamics of a class of viral infection models with diffusion," equations , hbv viral infection , reaction-diffusion equations , basic reproduction number , lyapunuv functional , global stability","The aim of this work is to study the dynamics of a class of viral infection models with diffusion and loss of viral particles due to the absorption into uninfected cells. we prove the global stability of equilibria by constructing suitable lyapunov functionals for two cases: continuous and discrete. also, some examples are given to illustrate the theoretical results.",20522541,Communications in mathematical biology and neuroscience,0.200
Square roots and nth roots in pseudo-michael algebras," banach-algebras pseudo michael algebra , locally multiplicatively pseudo-convex algebra , square root , nth root , hermitian element",The purpose of this paper is to study the existence of square roots and more generally nth roots in pseudo-michael algebras. we examine several conditions that imply the existence of nth roots and hermitian nth roots. we also simplify the proofs of the results given by d. sterbova.,03733505,Matematiche,0.291
Harmonic calculus in involutive p-banach algebras and mapping,,"We define and study a functionnal harmonic calculus in complex p-banach algebras, 0 < p < 1, with a linear involution. this calculus consists in given a sens to f(a) whenever a is an element of such algebra and f is a harmonic function in an open simply connected set containing spa. using this calculus we give, in p-banach algebras, a proof of the square root lemma of j. w. m. ford. we extend k. fan's theorem and von neumann's inequality to harmonic functions. as another application, we construct harmonic functionnal calculus for real p-banach algebras.",13701444,Bulletin of the belgian mathematical society-simon stevin,0.315
Ahybrid model for arabic script recognition based on cnn-cbamand blstm," handwriting recognition , arabic database , data augmentation , cnn , blstm","Handwriting recognition, particularly for arabic, is a very challenging field of research due to various complex factors, such as the presence of ligatures, cursive writing style, slant variations, diacritics, overlapping and other difficult problems. this paper specifically addresses the task of recognizing offline arabic handwritten text lines. the main contributions include the pre-processing stage and the utilization of a deep learning-based approach with data-augmentation techniques. the pre-processing step involves correcting the skew of text-lines and removing any unnecessary white space in images. the deep-learning architecture consists of a convolutional neural network and convolutional block attention module for feature extraction, along with bidirectional long short-term memory for sequence modeling and connectionist temporal classification as a decoder. data-augmentation techniques are utilized on the images in the database to enhance the system's ability to recognize a wide range of arabic characters and to extend the level of abstraction in patterns due to synthetic variations. our suggested approach has the capability of precisely recognizing arabic handwritten texts without the necessity of character segmentation, thereby resolving various issues associated with this aspect. the results obtained from the khatt database highlight the effectiveness of our approach, demonstrating a word error rate of 14.55% and a character error rate of 3.25%.",24139351,Jordanian journal of computers and information technology,0.284
